Function;Sub-function;Criterion;Recovery;Preparation;Compounding;Feedstock;Printing;Quality;Plateform
PF1: Design a customized product for users with the help of other specialized stakeholders;PF 1.4 The demonstrator must allow the solution to be presented in the form of a formal model (WP2.2: 4_Modelling);PF 1.4.4 The demonstrator must allow the validation of the models by the users, manufacturers and makers (WP2.2: 4_2_2 Validate with the users, manufacturers and makers);;;;;Yes;;
PF1: Design a customized product for users with the help of other specialized stakeholders;PF 1.5 The demonstrator must allow the solution to be presented in the form of a physical element (WP2.2: 5_Prototyping);PF 1.5.2 The demonstrator must allow to get the prototype of the favoured solution (WP2.2: 5_1_2 Launch the prototype elaboration);;;;;Yes;;
PF1: Design a customized product for users with the help of other specialized stakeholders;PF 1.5 The demonstrator must allow the solution to be presented in the form of a physical element (WP2.2: 5_Prototyping);PF 1.5.3 The demonstrator must allow an evaluation of the prototype functioning (WP2.2: 5_2_1 Assess the resulting prototype);;;;;;Yes;
PF1: Design a customized product for users with the help of other specialized stakeholders;PF 1.5 The demonstrator must allow the solution to be presented in the form of a physical element (WP2.2: 5_Prototyping);PF 1.5.4 The demonstrator must allow improve the prototype (WP2.2: 5_2_2 Determine corrective actions);;;;;;Yes;
PF1: Design a customized product for users with the help of other specialized stakeholders;PF1.6 The demonstrator must lead to validate the project and prepare it for industrialization (WP 2.2: 6_Validate and launch);PF 1.6.9 The demonstrator must allow the transfer of the customized production order to the suitable manufacturer (WP2.2: 6_4_2 Transmit the production order);;;;;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.1 The demonstrator must inform a stakeholder of the production launch of a product (WP2.2: 7_Order Reception Process);PF 3.1.2 The demonstrator must allow to validate that the manufacturing order is adapted to the activities carried out by the company (WP2.2: 7_2 Check the conformity of the order);Yes;;;;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.2 The demonstrator must plan and start production (WP2.2: 8_Production management process);PF3.2.1 The demonstrator must organise production considering product flows, deadlines and supplies (WP2.2: 8_1 Plan the production);Yes;Yes;Yes;Yes;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.2 The demonstrator must plan and start production (WP2.2: 8_Production management process);PF3.2.3 The demonstrator must define the production process (WP2.2: 8_3 Define the modality of the product industrialization);Yes;Yes;Yes;Yes;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.2 The demonstrator must plan and start production (WP2.2: 8_Production management process);PF3.2.5 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 8_5 Provide a technical assistance);;;;;Yes;Yes;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.3 The demonstrator must allow the purchase of the product or a part/component of the product (WP2.2: 9_Purchase);PF3.3.1 The demonstrator must allow to estimate the quantity of products, components, raw materials or packaging to purchase (WP2.2: 9_1 Define supply needs);Yes;;;;;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.3 The demonstrator must allow the purchase of the product or a part/component of the product (WP2.2: 9_Purchase);PF3.3.2 The demonstrator must allow to find suppliers able to provide components, raw materials or packaging according to the specifications (WP2.2: 9_2 Identify suppliers);Yes;;;;;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.3 The demonstrator must allow the purchase of the product or a part/component of the product (WP2.2: 9_Purchase);PF3.3.5 The demonstrator must allow receipt of proposals from suppliers (WP2.2: 9_5 Analyse the answer to the call for tenders);;;;;;;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.3 The demonstrator must allow the purchase of the product or a part/component of the product (WP2.2: 9_Purchase);PF3.3.8 The demonstrator must validate the order launch according to the established specification and the contract (WP2.2: 9_8 Trigger the order);;;;;;;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF 3.3 The demonstrator must allow the purchase of the product or a part/component of the product (WP2.2: 9_Purchase);PF3.3.9 The demonstrator must allow the traceability of the order (WP2.2: 9_9 Track and monitor the order);;;;;;;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.1 The demonstrator must validate that the specification fits with the manufacturing process (WP2.2: 10_1 Check the feasibility of the specification);;;;;Yes;;Yes
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.2 The demonstrator must allow to fit the product specification with industrialization process requirements (WP2.2: 10_2 Provide a technical assistance);;;;;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.3 The demonstrator must allow to choose the suitable manufacturing and assembly operations from the instructions (drawings, bill of material...) (WP2.2: 10_3 Identify the manufacturing operations);;;;;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.4 The demonstrator must define the suitable amount of quantity or raw materials (WP2.2: 10_4 Select materials and components for manufacturing);Yes;;;;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF 3.4.5 The demonstrator must prepare the quantity of materials required for the manufacturing (WP2.2: 10_5 Build up the stock of raw materials and components);Yes;;;;Yes;;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.6 The demonstrator must lead to the desired product (WP2.2: 10_6 Manufacture the product/component);;;;;;Yes;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.7 The demonstrator must refine the product obtained (WP2.2: 10_7 Carry out the finishes of a work);;;;;;Yes;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.4 The demonstrator must allow the product to be obtained by the processing of material (WP2.2: 10_Manufacturing);PF3.4.8 The demonstrator must validate that the product perfectly fit with the specification (WP2.2: 10_8 Check the stability and the dimension of the product);;;;;;Yes;
PF3: Produce a customized product for users with the help of other specialized stakeholders;PF3.9 The demonstrator must inform the supplier of the raw material requirements (WP2.2: 15_Order preparation process);PF3.9.1 The demonstrator must extract raw material according to the order preparation instructions (quantity, type…) (WP2.2: 15_1 Pick materials);Yes;;;;;;
