Criterion;Control;"Achieved objectives 
Yes: green
In part: orange
No: red";Pilot (Responsible);Allocated resources;Justification / comment;"Issue to achieve? 
If yes, please explain";Expected date of completion;Date of final completion;"Review by WP leader
Yes: green
In part: orange
No: red";Date of review;Comment
PF 1.4.4 The demonstrator must allow the validation of the models by the users, manufacturers and makers (WP2.2: 4_2_2 Validate with the users, manufacturers and makers);Validation of the models according to its expertise;In part;Benjamin;PC To observe the STL model to be printed;[13/10/2020]: We haven't see the traslation layers from the VR tool towards the clean 3D printed model for printed purpose;[13/10/2020]: Validation of the quality traslation between models created in the co-creation phase and the open manufacturing phase.;Feb-2022 or before (according proposal - see comment);NA;In part;2022-05-02T00:00:00Z;"accordind to the INEDIT proposal, the excepted date of completion should be Feb / March 2022. Indeed, in March 2022 we have to validate the demonstrator and experiment it until July 2022

Waiting for progress on the translation layer"
PF 1.5.2 The demonstrator must allow to get the prototype of the favoured solution (WP2.2: 5_1_2 Launch the prototype elaboration);Prototyping and design capability, prototyping materials (plastic);Yes;Benjamin / Cristian /  Alexandre;"[12/15/2021]
- Sketch (On paper and eventually on VR) are useful to define a first versio of product.
- CAD competences are required to valdate the functional 3D model.";"[12/15/2021]
- Sketch (On paper and eventually on VR) are useful to define a first versio of product.
- CAD competences are required to valdate the functional 3D model.";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;Ok
PF 1.5.2 The demonstrator must allow to get the prototype of the favoured solution (WP2.2: 5_1_2 Launch the prototype elaboration);Use of 3D printer and Shredding machine and cleaning operations;Yes;Cristian / Alexandre;Machine Retsch 300 (Shredding)                 Gigabot X (Printer);[25/01/2022]                                                 The control of the gigabot is done through the parameterisation of its operation, mainly the temperatures, printing speed, cooling, among others. These vary according to the material to be printed. In the shredder we control the rotational speed, in the Reitsch there is the possibility between 700RPM - 3000 RPM. An experience plan is carried out to determine the right rotational speed.;NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2022-05-02T00:00:00Z;ok
PF 1.5.2 The demonstrator must allow to get the prototype of the favoured solution (WP2.2: 5_1_2 Launch the prototype elaboration);Presence and mastery of Manual Injection machine;Yes;"Benjamin/
Cristian / Alexandre";"[15/12/2021]
There is a first prototype Injection machine (Holipresse) that enable the creation of certain injection products.
 - Competences in vectorial design and laser cut are need it to fabricate the moulds to be useful for the injection.
- Safety practices are required to handle the injection machine because it is in a temperature of 200°c in average.
";"[15/12/2021]
There is a first prototype Injection machine (Holipresse) that enable the creation of certain injection products.
 - Competences in vectorial design and laser cut are need it to fabricate the moulds to be useful for the injection.
- Safety practices are required to handle the injection machine because it is in a temperature of 200°c in average.
";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;Ok
PF 1.5.2 The demonstrator must allow to get the prototype of the favoured solution (WP2.2: 5_1_2 Launch the prototype elaboration);"Skills in Design for Additive Manufacturing and in Injection
molding design";Yes;"Benjamin / 
Fabio";"[15/12/2021]: For this task, it is needed a machine for creation of posible molds for the injection machine. In terms of competencies, the CAO and traslation of towards .DXF is needed.
- Design for Additive Manufacturing needs the knowledge on the fused granular process to know the parameters (Layer heigth, Extrudion factor, etc)  of printing product";"[15/12/2021]: For this task, it is needed a machine for creation of posible molds for the injection machine. In terms of competencies, the CAO and traslation of towards .DXF is needed.
- Design for Additive Manufacturing needs the knowledge on the fused granular process to know the parameters (Layer heigth, Extrudion factor, etc)  of printing product";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;Ok
PF 1.5.3 The demonstrator must allow an evaluation of the prototype functioning (WP2.2: 5_2_1 Assess the resulting prototype);Mastery of objective evaluation (e.g. structural tests as mechanical properties) and subjective evaluation (e.g. user acceptability);Yes;"Benjamin / 
Fabio";"[15/12/2021]
- Universalt testing Machine for mechanical Test
- Systemes / Protocols d'acceptabilité de object";"[15/12/2021]
For the structural test, traditionally the Tensile - Strain curves are evaluated with standarized samples in order to validate and compare the resistance of the object. 
Thefore, competences / skills in mechanical engineering are needed for this aspect.
- Concerning the user acceptability, what is need it is the comparison of product recycled vs virgin and questionnaire or instrument as (eyetracking, neurophisical captors) to capture the elements by the user that can prevent the acceptability of the part";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;ok
PF 1.5.3 The demonstrator must allow an evaluation of the prototype functioning (WP2.2: 5_2_1 Assess the resulting prototype);Realization of protocol tests;Yes;Benjamin / Cristian /  Alexandre;"[15/12/2021]
- PC to modelize the object, 
- 3D Printers and material ready to print
- Measurement tools to validate Tolerances";"[15/12/2021]
The tests of printing elements are used to validate most of the time the tolerances for the assembling and to validate that the printing process itself is realiable.
This means that in function of the material, certaini pre-programmed parameters are adequate for the piece";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;ok
PF 1.5.3 The demonstrator must allow an evaluation of the prototype functioning (WP2.2: 5_2_1 Assess the resulting prototype);Ability to evaluate the prototype and to propose corrective actions, tools to correct the prototype;Yes;"Benjamin /
Alexandre";"[15/12/2021]
- Measurement tools
- CAD Software to modify the model";"[15/12/2021]
- Corrective actions for our case consiste in the modifications of the model if the printing part is not according to Design for AM prnciples ( DOI 10.1016/j.cirp.2016.05.004)";NA;Feb-2022 or before (according proposal - see comment);NA;Yes;2021-12-15T00:00:00Z;ok
PF 1.5.3 The demonstrator must allow an evaluation of the prototype functioning (WP2.2: 5_2_1 Assess the resulting prototype);Reporting malfunction or noncompliance report;In part;Benjamin;"[15/12/2021]
- Inedit Plateform or ERP to be able to declare this element?
- Photo or video specifying the inconvienent.";"[15/12/2021]
The malfunction of 3D printed pieces are mainly because of factor of form (size, tolerance, orientation), or eventually defect on materials properties (resistance, color, surface)";NA;Feb-2022 or before (according proposal - see comment);NA;In part;2022-01-21T00:00:00Z;"Pending validation of the platform
ok for justification"
PF 1.5.4 The demonstrator must allow improve the prototype (WP2.2: 5_2_2 Determine corrective actions);Presence and mastery of 3D Printer/Injection moulding;Yes;Benjamin;"[15/12/2021]
- 3D printers and laser cut technologies as support to create the molds
- Software vectorial design (Inkscape / InkDesign etc)";"[15/12/2021]
There is a first prototype Injection machine (Holipresse) that enable the creation of certain injection products.
 - Competences in vectorial design and laser cut are need it to fabricate the moulds to be useful for the injection.
- Safety practices are required to handle the injection machine because it is in a temperature of 200°c in average.
";NA;Feb-2022 or before (according proposal - see comment);NA;yes;2021-12-15T00:00:00Z;ok
